"","Order","Family","Species_Common_Name","Species_Latin_Name","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"30","Charadriiformes","Jacanidae (Jacanas)","Northern Jacana","Jacana spinosa","Blood_Hg_ppm","Mexico",5,"0.23 ± 0.196",85.413,"2012—2013","0.017—0.417"
"31","Charadriiformes","Jacanidae (Jacanas)","Northern Jacana","Jacana spinosa","Blood_Hg_ppm","Nicaragua",5,"0.23 ± 0.196",85.413,"2012—2013","0.017—0.417"
"32","Charadriiformes","Jacanidae (Jacanas)","Northern Jacana","Jacana spinosa","Tail_Hg_ppm","Nicaragua",16,"0.919 ± 0.673",73.246,"2012—2014","0.102—2.407"
"33","Charadriiformes","Jacanidae (Jacanas)","Wattled Jacana","Jacana jacana","Blood_Hg_ppm","Colombia",1,"1.414",NA,"2023","NA"
"34","Charadriiformes","Jacanidae (Jacanas)","Wattled Jacana","Jacana jacana","Body_Hg_ppm","Colombia",3,"18.271 ± 2.321",12.705,"2019—2023","15.706—20.227"
"35","Charadriiformes","Jacanidae (Jacanas)","Wattled Jacana","Jacana jacana","Body_Hg_ppm","Peru",3,"18.271 ± 2.321",12.705,"2019—2023","15.706—20.227"
"36","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Laughing Gull","Leucophaeus atricilla","Blood_Hg_ppm","Dominican Republic",1,"0.26",NA,"2017","NA"
"37","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Sandpiper","Calidris minutilla","Blood_Hg_ppm","Nicaragua",1,"0.018",NA,"2014","NA"
"38","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Solitary Sandpiper","Tringa solitaria","Blood_Hg_ppm","Dominican Republic",2,"0.442 ± 0.265",60.06,"2014—2017","0.254—0.629"
"39","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Solitary Sandpiper","Tringa solitaria","Blood_Hg_ppm","Nicaragua",2,"0.442 ± 0.265",60.06,"2014—2017","0.254—0.629"
"40","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Spotted Sandpiper","Actitis macularius","Blood_Hg_ppm","Belize",6,"0.314 ± 0.31",99.002,"2014—2021","0.079—0.741"
"41","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Spotted Sandpiper","Actitis macularius","Blood_Hg_ppm","Dominican Republic",6,"0.314 ± 0.31",99.002,"2014—2021","0.079—0.741"
"42","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Spotted Sandpiper","Actitis macularius","Blood_Hg_ppm","Nicaragua",6,"0.314 ± 0.31",99.002,"2014—2021","0.079—0.741"
"43","Columbiformes","Columbidae (Pigeons and Doves)","Common Ground Dove","Columbina passerina","Tail_Hg_ppm","Nicaragua",2,"0.014 ± 0.001",5.238,"2014","0.013—0.014"
"44","Columbiformes","Columbidae (Pigeons and Doves)","Gray-fronted Dove","Leptotila rufaxilla","Body_Hg_ppm","Peru",3,"0.058 ± 0.024",41.243,"2019","0.038—0.084"
"45","Columbiformes","Columbidae (Pigeons and Doves)","Gray-headed Dove","Leptotila plumbeiceps","Body_Hg_ppm","Belize",3,"0.034 ± 0.024",71.483,"2019—2021","0.006—0.048"
"46","Columbiformes","Columbidae (Pigeons and Doves)","Gray-headed Dove","Leptotila plumbeiceps","Tail_Hg_ppm","Belize",1,"0.014",NA,"2021","NA"
"47","Columbiformes","Columbidae (Pigeons and Doves)","Inca Dove","Columbina inca","Blood_Hg_ppm","Mexico",1,"0.008",NA,"2013","NA"
"48","Columbiformes","Columbidae (Pigeons and Doves)","Inca Dove","Columbina inca","Tail_Hg_ppm","Mexico",2,"0.048 ± 0.033",68.524,"2013","0.025—0.072"
"49","Columbiformes","Columbidae (Pigeons and Doves)","Mourning Dove","Zenaida macroura","Blood_Hg_ppm","Dominican Republic",2,"0.002 ± 0.001",70.711,"2017","0.001—0.003"
"50","Columbiformes","Columbidae (Pigeons and Doves)","Rock Pigeon","Columba livia","Blood_Hg_ppm","Dominican Republic",4,"0.002 ± 0.002",100,"2017","0.001—0.005"
"51","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Ground Dove","Columbina talpacoti","Blood_Hg_ppm","Belize",4,"0.001 ± 0",17.685,"2021—2023","0.001—0.001"
"52","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Ground Dove","Columbina talpacoti","Blood_Hg_ppm","Colombia",4,"0.001 ± 0",17.685,"2021—2023","0.001—0.001"
"53","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Ground Dove","Columbina talpacoti","Body_Hg_ppm","Colombia",7,"0.122 ± 0.043",35.304,"2019—2023","0.027—0.15"
"54","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Ground Dove","Columbina talpacoti","Body_Hg_ppm","Peru",7,"0.122 ± 0.043",35.304,"2019—2023","0.027—0.15"
"55","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Ground Dove","Columbina talpacoti","Tail_Hg_ppm","Nicaragua",2,"0.019 ± 0.014",74.432,"2014","0.009—0.029"
"56","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Quail-Dove","Geotrygon montana","Blood_Hg_ppm","Puerto Rico",2,"0.003 ± 0.002",46.417,"2010","0.002—0.004"
"57","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Quail-Dove","Geotrygon montana","Body_Hg_ppm","Peru",6,"0.306 ± 0.236",77.318,"2019","0.11—0.753"
"58","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Quail-Dove","Geotrygon montana","Tail_Hg_ppm","Costa Rica",4,"0.187 ± 0.099",53.009,"2010—2018","0.117—0.334"
"59","Columbiformes","Columbidae (Pigeons and Doves)","Ruddy Quail-Dove","Geotrygon montana","Tail_Hg_ppm","Peru",4,"0.187 ± 0.099",53.009,"2010—2018","0.117—0.334"
"60","Columbiformes","Columbidae (Pigeons and Doves)","White-tipped Dove","Leptotila verreauxi","Blood_Hg_ppm","Belize",3,"0.003 ± 0.003",114.185,"2009—2021","0.001—0.007"
"61","Columbiformes","Columbidae (Pigeons and Doves)","White-tipped Dove","Leptotila verreauxi","Body_Hg_ppm","Belize",4,"0.017 ± 0.012",74.247,"2019—2021","0.004—0.031"
"62","Columbiformes","Columbidae (Pigeons and Doves)","White-tipped Dove","Leptotila verreauxi","Tail_Hg_ppm","Belize",5,"0.048 ± 0.071",148.608,"2010—2021","0.001—0.173"
"63","Columbiformes","Columbidae (Pigeons and Doves)","White-tipped Dove","Leptotila verreauxi","Tail_Hg_ppm","Costa Rica",5,"0.048 ± 0.071",148.608,"2010—2021","0.001—0.173"
"64","Coraciiformes","Alcedinidae (Kingfishers)","Amazon Kingfisher","Chloroceryle amazona","Blood_Hg_ppm","Colombia",3,"1.789 ± 1.307",73.061,"2014—2023","0.499—3.112"
"65","Coraciiformes","Alcedinidae (Kingfishers)","Amazon Kingfisher","Chloroceryle amazona","Blood_Hg_ppm","Nicaragua",3,"1.789 ± 1.307",73.061,"2014—2023","0.499—3.112"
"66","Coraciiformes","Alcedinidae (Kingfishers)","Amazon Kingfisher","Chloroceryle amazona","Body_Hg_ppm","Colombia",4,"23.902 ± 5.854",24.492,"2019—2023","17.7—30.681"
"67","Coraciiformes","Alcedinidae (Kingfishers)","Amazon Kingfisher","Chloroceryle amazona","Body_Hg_ppm","Peru",4,"23.902 ± 5.854",24.492,"2019—2023","17.7—30.681"
"68","Coraciiformes","Alcedinidae (Kingfishers)","Amazon Kingfisher","Chloroceryle amazona","Tail_Hg_ppm","Nicaragua",1,"12.07",NA,"2014","NA"
"69","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Blood_Hg_ppm","Belize",23,"0.542 ± 0.403",74.244,"2007—2021","0.069—1.37"
"70","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Blood_Hg_ppm","Costa Rica",23,"0.542 ± 0.403",74.244,"2007—2021","0.069—1.37"
"71","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Body_Hg_ppm","Belize",9,"12.038 ± 6.563",54.514,"2019—2021","1.718—19.596"
"72","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Body_Hg_ppm","Peru",9,"12.038 ± 6.563",54.514,"2019—2021","1.718—19.596"
"73","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Tail_Hg_ppm","Belize",15,"10.314 ± 7.734",74.982,"2007—2021","1.475—25.841"
"74","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Tail_Hg_ppm","Costa Rica",15,"10.314 ± 7.734",74.982,"2007—2021","1.475—25.841"
"75","Coraciiformes","Alcedinidae (Kingfishers)","American Pygmy Kingfisher","Chloroceryle aenea","Tail_Hg_ppm","Panama",15,"10.314 ± 7.734",74.982,"2007—2021","1.475—25.841"
"76","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Blood_Hg_ppm","Belize",10,"0.245 ± 0.2",81.674,"2008—2021","0.02—0.515"
"77","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Blood_Hg_ppm","Costa Rica",10,"0.245 ± 0.2",81.674,"2008—2021","0.02—0.515"
"78","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Blood_Hg_ppm","Nicaragua",10,"0.245 ± 0.2",81.674,"2008—2021","0.02—0.515"
"79","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Body_Hg_ppm","Belize",8,"35.754 ± 27.925",78.102,"2019—2021","6.216—72.795"
"80","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Body_Hg_ppm","Peru",8,"35.754 ± 27.925",78.102,"2019—2021","6.216—72.795"
"81","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Tail_Hg_ppm","Belize",15,"2.682 ± 2.601",96.976,"2011—2021","1.299—11.546"
"82","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Tail_Hg_ppm","Costa Rica",15,"2.682 ± 2.601",96.976,"2011—2021","1.299—11.546"
"83","Coraciiformes","Alcedinidae (Kingfishers)","Green Kingfisher","Chloroceryle americana","Tail_Hg_ppm","Nicaragua",15,"2.682 ± 2.601",96.976,"2011—2021","1.299—11.546"
"84","Coraciiformes","Alcedinidae (Kingfishers)","Green-and-rufous Kingfisher","Chloroceryle inda","Body_Hg_ppm","Peru",1,"37.079",NA,"2019","NA"
"85","Coraciiformes","Alcedinidae (Kingfishers)","Green-and-rufous Kingfisher","Chloroceryle inda","Tail_Hg_ppm","Panama",1,"1.73",NA,"2011","NA"
"86","Coraciiformes","Alcedinidae (Kingfishers)","Ringed Kingfisher","Megaceryle torquata","Blood_Hg_ppm","Nicaragua",2,"0.156 ± 0.047",30.467,"2014","0.122—0.189"
"87","Coraciiformes","Alcedinidae (Kingfishers)","Ringed Kingfisher","Megaceryle torquata","Tail_Hg_ppm","Nicaragua",4,"2.968 ± 0.587",19.761,"2014","2.113—3.446"
"88","Coraciiformes","Momotidae (Motmots)","Amazonian Motmot","Momotus momota","Body_Hg_ppm","Peru",7,"1.686 ± 1.074",63.718,"2019","0.602—3.656"
"89","Coraciiformes","Momotidae (Motmots)","Amazonian Motmot","Momotus momota","Tail_Hg_ppm","Peru",2,"0.626 ± 0.535",85.44,"2018","0.248—1.005"
"90","Coraciiformes","Momotidae (Motmots)","Lesson's Motmot","Momotus lessonii","Blood_Hg_ppm","Belize",1,"0.036",NA,"2021","NA"
"91","Coraciiformes","Momotidae (Motmots)","Lesson's Motmot","Momotus lessonii","Body_Hg_ppm","Belize",1,"0.227",NA,"2021","NA"
"92","Coraciiformes","Momotidae (Motmots)","Lesson's Motmot","Momotus lessonii","Tail_Hg_ppm","Belize",2,"0.221 ± 0.105",47.475,"2010—2021","0.147—0.296"
"93","Coraciiformes","Momotidae (Motmots)","Lesson's Motmot","Momotus lessonii","Tail_Hg_ppm","Costa Rica",2,"0.221 ± 0.105",47.475,"2010—2021","0.147—0.296"
"94","Coraciiformes","Momotidae (Motmots)","Rufous Motmot","Baryphthengus martii","Tail_Hg_ppm","Peru",1,"7.585",NA,"2018","NA"
"95","Coraciiformes","Todidae (Todies)","Broad-billed Tody","Todus subulatus","Blood_Hg_ppm","Dominican Republic",1,"0.097",NA,"2017","NA"
"96","Cuculiformes","Cuculidae (Cuckoos)","Groove-billed Ani","Crotophaga sulcirostris","Blood_Hg_ppm","Nicaragua",2,"0.034 ± 0.037",111.871,"2012","0.007—0.06"
"97","Cuculiformes","Cuculidae (Cuckoos)","Groove-billed Ani","Crotophaga sulcirostris","Body_Hg_ppm","Belize",1,"0.445",NA,"2021","NA"
"98","Cuculiformes","Cuculidae (Cuckoos)","Hispaniolan Lizard-Cuckoo","Coccyzus longirostris","Blood_Hg_ppm","Dominican Republic",4,"0.192 ± 0.076",39.546,"2017","0.093—0.269"
"99","Cuculiformes","Cuculidae (Cuckoos)","Little Cuckoo","Coccycua minuta","Body_Hg_ppm","Peru",1,"0.829",NA,"2019","NA"
"100","Cuculiformes","Cuculidae (Cuckoos)","Smooth-billed Ani","Crotophaga ani","Body_Hg_ppm","Peru",8,"0.982 ± 0.3",30.569,"2019","0.675—1.603"
"101","Falconiformes","Falconidae (Falcons and Caracaras)","Barred Forest-Falcon","Micrastur ruficollis","Body_Hg_ppm","Peru",11,"5.098 ± 3.39",66.49,"2009—2019","1.797—11.744"
"102","Falconiformes","Falconidae (Falcons and Caracaras)","Bat Falcon","Falco rufigularis","Body_Hg_ppm","Peru",1,"9.12",NA,"2019","NA"
"103","Falconiformes","Falconidae (Falcons and Caracaras)","Black Caracara","Daptrius ater","Body_Hg_ppm","Peru",2,"0.444 ± 0.099",22.377,"2010—2011","0.374—0.515"
"104","Falconiformes","Falconidae (Falcons and Caracaras)","Buckley's Forest-Falcon","Micrastur buckleyi","Body_Hg_ppm","Peru",2,"1.676 ± 0.208",12.436,"2010—2011","1.528—1.823"
"105","Falconiformes","Falconidae (Falcons and Caracaras)","Collared Forest-Falcon","Micrastur semitorquatus","Body_Hg_ppm","Peru",4,"1.928 ± 0.735",38.12,"2009—2010","0.97—2.736"
"106","Falconiformes","Falconidae (Falcons and Caracaras)","Lined Forest-Falcon","Micrastur gilvicollis","Body_Hg_ppm","Peru",12,"6.46 ± 5.219",80.796,"2009—2011","1.139—19.887"
"107","Falconiformes","Falconidae (Falcons and Caracaras)","Slaty-backed Forest-Falcon","Micrastur mirandollei","Body_Hg_ppm","Peru",4,"7.708 ± 4.779",62.007,"2009—2011","1.9—13.593"
"108","Galbuliformes","Bucconidae (Puffbirds)","Black-fronted Nunbird","Monasa nigrifrons","Body_Hg_ppm","Peru",2,"0.171 ± 0.024",14.175,"2019","0.154—0.188"
"109","Galbuliformes","Bucconidae (Puffbirds)","Black-fronted Nunbird","Monasa nigrifrons","Tail_Hg_ppm","Peru",1,"0.15",NA,"2018","NA"
"110","Galbuliformes","Bucconidae (Puffbirds)","Chestnut-capped Puffbird","Bucco macrodactylus","Body_Hg_ppm","Peru",1,"0.717",NA,"2019","NA"
"111","Galbuliformes","Bucconidae (Puffbirds)","Semicollared Puffbird","Malacoptila semicincta","Tail_Hg_ppm","Peru",1,"1.086",NA,"2018","NA"
"112","Galbuliformes","Bucconidae (Puffbirds)","White-whiskered Puffbird","Malacoptila panamensis","Tail_Hg_ppm","Costa Rica",1,"0.299",NA,"2010","NA"
"113","Galbuliformes","Galbulidae (Jacamars)","Bluish-fronted Jacamar","Galbula cyanescens","Body_Hg_ppm","Peru",7,"3.848 ± 2.223",57.777,"2019","0.933—5.776"
"114","Galbuliformes","Galbulidae (Jacamars)","Bluish-fronted Jacamar","Galbula cyanescens","Tail_Hg_ppm","Peru",1,"2.237",NA,"2018","NA"
"115","Galbuliformes","Galbulidae (Jacamars)","Rufous-tailed Jacamar","Galbula ruficauda","Blood_Hg_ppm","Belize",1,"0.063",NA,"2021","NA"
"116","Galbuliformes","Galbulidae (Jacamars)","Rufous-tailed Jacamar","Galbula ruficauda","Body_Hg_ppm","Belize",1,"1.604",NA,"2021","NA"
"117","Galbuliformes","Galbulidae (Jacamars)","Rufous-tailed Jacamar","Galbula ruficauda","Tail_Hg_ppm","Belize",1,"0.744",NA,"2021","NA"
"118","Passeriformes","Cardinalidae (Cardinals and Allies)","Blue Bunting","Cyanocompsa parellina","Blood_Hg_ppm","Belize",2,"0.026 ± 0.027",101.99,"2008—2021","0.007—0.045"
"119","Passeriformes","Cardinalidae (Cardinals and Allies)","Blue Bunting","Cyanocompsa parellina","Body_Hg_ppm","Belize",1,"0.198",NA,"2021","NA"
"120","Passeriformes","Cardinalidae (Cardinals and Allies)","Blue Bunting","Cyanocompsa parellina","Tail_Hg_ppm","Belize",2,"0.083 ± 0.06",72.972,"2010—2021","0.04—0.125"
"121","Passeriformes","Cardinalidae (Cardinals and Allies)","Blue Bunting","Cyanocompsa parellina","Tail_Hg_ppm","Nicaragua",2,"0.083 ± 0.06",72.972,"2010—2021","0.04—0.125"
"122","Passeriformes","Cardinalidae (Cardinals and Allies)","Blue-black Grosbeak","Cyanoloxia cyanoides","Tail_Hg_ppm","Belize",3,"0.5 ± 0.146",29.194,"2007—2018","0.336—0.616"
"123","Passeriformes","Cardinalidae (Cardinals and Allies)","Blue-black Grosbeak","Cyanoloxia cyanoides","Tail_Hg_ppm","Peru",3,"0.5 ± 0.146",29.194,"2007—2018","0.336—0.616"
"124","Passeriformes","Cardinalidae (Cardinals and Allies)","Gray-throated Chat","Granatellus sallaei","Blood_Hg_ppm","Belize",1,"0.14",NA,"2021","NA"
"125","Passeriformes","Cardinalidae (Cardinals and Allies)","Gray-throated Chat","Granatellus sallaei","Body_Hg_ppm","Belize",1,"1.602",NA,"2021","NA"
"126","Passeriformes","Cardinalidae (Cardinals and Allies)","Gray-throated Chat","Granatellus sallaei","Tail_Hg_ppm","Belize",2,"0.849 ± 0.209",24.615,"2007—2021","0.702—0.997"
"127","Passeriformes","Cardinalidae (Cardinals and Allies)","Hepatic Tanager","Piranga flava","Body_Hg_ppm","Peru",1,"0.238",NA,"2019","NA"
"128","Passeriformes","Cardinalidae (Cardinals and Allies)","Indigo Bunting","Passerina cyanea","Blood_Hg_ppm","Dominican Republic",1,"0.001",NA,"2017","NA"
"129","Passeriformes","Cardinalidae (Cardinals and Allies)","Painted Bunting","Passerina ciris","Blood_Hg_ppm","Nicaragua",1,"0.003",NA,"2012","NA"
"130","Passeriformes","Cardinalidae (Cardinals and Allies)","Red-crowned Ant-Tanager","Habia rubica","Body_Hg_ppm","Peru",2,"0.326 ± 0.052",16.012,"2019","0.289—0.363"
"131","Passeriformes","Cardinalidae (Cardinals and Allies)","Red-crowned Ant-Tanager","Habia rubica","Tail_Hg_ppm","Peru",3,"0.354 ± 0.164",46.299,"2018—2019","0.165—0.457"
"132","Passeriformes","Cardinalidae (Cardinals and Allies)","Red-throated Ant-Tanager","Habia fuscicauda","Blood_Hg_ppm","Belize",11,"0.059 ± 0.093",158.126,"2008—2021","0.007—0.337"
"133","Passeriformes","Cardinalidae (Cardinals and Allies)","Red-throated Ant-Tanager","Habia fuscicauda","Body_Hg_ppm","Belize",2,"0.964 ± 0.698",72.332,"2021","0.471—1.458"
"134","Passeriformes","Cardinalidae (Cardinals and Allies)","Red-throated Ant-Tanager","Habia fuscicauda","Tail_Hg_ppm","Belize",4,"0.491 ± 0.581",118.305,"2010—2021","0.135—1.36"
"135","Passeriformes","Cardinalidae (Cardinals and Allies)","Red-throated Ant-Tanager","Habia fuscicauda","Tail_Hg_ppm","Nicaragua",4,"0.491 ± 0.581",118.305,"2010—2021","0.135—1.36"
"136","Passeriformes","Conopophagidae (Gnateaters)","Ash-thoated Gnateater","Conopophaga peruviana","Body_Hg_ppm","Peru",1,"1.756",NA,"2019","NA"
"137","Passeriformes","Conopophagidae (Gnateaters)","Ash-thoated Gnateater","Conopophaga peruviana","Tail_Hg_ppm","Peru",3,"1.831 ± 1.12",61.183,"2018","0.968—3.097"
"138","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Brown Jay","Psilorhinus morio","Blood_Hg_ppm","Belize",1,"0.027",NA,"2009","NA"
"139","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Purplish Jay","Cyanocorax cyanomelas","Body_Hg_ppm","Peru",1,"0.844",NA,"2019","NA"
"140","Passeriformes","Corvidae (Crows, Jays, and Magpies)","White-throated Magpie-Jay","Calocitta formosa","Blood_Hg_ppm","Nicaragua",1,"0.012",NA,"2014","NA"
"141","Passeriformes","Corvidae (Crows, Jays, and Magpies)","White-throated Magpie-Jay","Calocitta formosa","Tail_Hg_ppm","Nicaragua",1,"0.165",NA,"2014","NA"
"142","Passeriformes","Dulidae (Palmchat)","Palmchat","Dulus dominicus","Blood_Hg_ppm","Dominican Republic",3,"0.001 ± 0",0,"2017","0.001—0.001"
"143","Passeriformes","Formicariidae (Antthrushes)","Black-faced Antthrush","Formicarius analis","Body_Hg_ppm","Peru",6,"1.453 ± 1.357",93.39,"2019","0.558—4.078"
"144","Passeriformes","Formicariidae (Antthrushes)","Black-faced Antthrush","Formicarius analis","Tail_Hg_ppm","Peru",1,"5.999",NA,"2018","NA"
"145","Passeriformes","Formicariidae (Antthrushes)","Rufous-fronted Antthrush","Formicarius rufifrons","Body_Hg_ppm","Peru",1,"3.04",NA,"2019","NA"
"146","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Olive-backed Euphonia","Euphonia gouldi","Tail_Hg_ppm","Nicaragua",4,"0.048 ± 0.022",45.317,"2010","0.026—0.076"
"147","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Orange-bellied Euphonia","Euphonia xanthogaster","Body_Hg_ppm","Peru",1,"1.101",NA,"2019","NA"
