"","Country","Site_Name","Tissue_Type","n_Species","n","Mean","CV","Year_Range","Range"
"59","Panama","Juan Díaz","Tail_Hg_ppm",6,17,"2.72 ± 1.627",59.797,"2011","0.414—5.738"
"60","Peru","ASGM Site A","Body_Hg_ppm",27,45,"3.266 ± 6.287",192.514,"2019","0.156—30.681"
"61","Peru","ASGM Site B","Body_Hg_ppm",50,120,"4.295 ± 9.528",221.861,"2019","0.123—66.279"
"62","Peru","ASGM Site C","Body_Hg_ppm",35,72,"3.262 ± 9.701",297.407,"2019","0.027—72.795"
"63","Peru","Cocha Cashu Biological Station","Tail_Hg_ppm",14,18,"0.843 ± 0.86",102.052,"2019","0.061—3.411"
"64","Peru","Control Site","Body_Hg_ppm",27,52,"0.469 ± 0.417",88.919,"2019","0.038—1.889"
"65","Peru","Los Amigos Biological Station","Body_Hg_ppm",46,175,"2.452 ± 2.783",113.47,"2009—2019","0.1—19.887"
"66","Peru","Los Amigos Biological Station","Tail_Hg_ppm",71,194,"1.527 ± 1.711",112.049,"2017—2019","0.056—8.606"
"67","Puerto Rico","Bosque Nacional El Yunque","Blood_Hg_ppm",8,31,"0.006 ± 0.006",104.602,"2010","0.001—0.032"
"68","Puerto Rico","Bosque Nacional El Yunque","Tail_Hg_ppm",6,28,"0.118 ± 0.101",85.77,"2010","0.031—0.533"
