Region,Country,State,Area,Closest_Town,SiteID,Site_Name,Banding_Station_ID,Banding_Station_Name,Banding_Station_Distance_m,Banding_Station_Habitat_Types,Banding_Station_Dominant_Habitat,Banding_Station_Dominant_Habitat2,Banding_Station_Simple_Habitat,Banding_Station_Simple_Habitat2,Flooded_Yes_No,Mining_Present_Yes_No,Mining_Type,Season,Month,Day,Year,Date,Capture_Time,Net_Number,Site_Lat,Site_Long,Banding_Station_Lat,Banding_Station_Long,Net_Lat,Net_Long,Band_Num,Color_LL_Bands,Color_RL_Bands,Recap_Yes_No,Species_Common_Name,Species_Code,Species_Latin_Name,Subspecies,Latin_Code,Bander_or_Collector,Collecting_Organization,Lab_Organization,Lab_Analyst_1,Lab_Analyst_1_Info,Lab_Analyst_2,Lab_Analyst_2_Info,Lab_Analyst_3,Lab_Analyst_3_Info,Museum_Yes_No,Museum_Name,Collector_1,Collector_1_Info,Collector_2,Collector_2_Info,Collector_3,Collector_3_Info,Collector_4,Collector_4_Info,Collector_5,Collector_5_Info,Collector_6,Collector_6_Info,Collector_7,Collector_7_Info,Collector_8,Collector_8_Info,Collector_9,Collector_9_Info,WRP,Age_BBL,Age_MAPS,How_Aged,How_Aged_2,Sex,How_Sexed,How_Sexed_2,Skull,Iris,Cloacal_Protuberance,Brood_Patch,Fat_Score,Muscle_Score,Molt_Cycle,Body_Molt,Flight_Feather_Molt,Flight_Feather_Wear,Juv_Plumage,Prim_Covs,Sec_Covs,Primaries,Secondaries,Tertials,Rectrices,Body_Plumage,Non-Feather,Molt_Limit_1,Molt_Limit_2,Culmen_mm,Bill_Length_mm,Bill_Depth_mm,Bill_Width_mm,Nares_to_Tip_mm,Head_to_Tip_Bill_mm,Head_Width_mm,Overlap_mm,Total_Body_Length_mm,Tail_Length_mm,Wing_Chord_mm,TMTarsus_Length_mm,TMTarsus_Width_mm,TBTarsus_Length_mm,Talons_M_mm,Talons_A_mm,Mass_g,Blood_Collected_Yes_No,Feather_Collected_Yes_No,Parasites_Yes_No,Transmitter_Yes_No,Primary_Feathers,Secondary_Feathers,Flank_Feathers,Tail_Feathers,Breast_Feathers,Other_Feathers,Banding_Comments,Blood_Hg_ppm,Blood_Lab_ID,Blood_Hg_ppm_Duplicate,Blood_Lab_ID_Duplicate,Whatman_Hg_ng,Whatman_Volume_µL,Whatman_Hg_ppm,Whatman_Lab_ID,Whatman_Hg_ppm_Duplicate,Whatman_Lab_ID_Duplicate,Flank_THg_ppb,Flank_THg_ng,Flank_MeHg_ppb,Flank_MeHg%,P1_Hg_ppm,P1_Lab_ID,P1_Feather_Condition,P10_Hg_ppm,P10_Lab_ID,P10_Feather_Condition,Tail_Hg_ppm,Tail_Lab_ID,Tail_Hg_ppm_Duplicate,Tail_Lab_ID_Duplicate,Breast_Hg_ppm,Breast_Lab_ID,Back_Hg_ppm,Back_Lab_ID,Flank_Hg_ppm,Flank_Lab_ID,Flank_Hg_ppm_Duplicate,Flank_Lab_ID_Duplicate,Isotopes,%Carbon,Blood_Carbon_Level_(d13C),%Nitrogen,Blood_Nitrogen_Level_(d15N),Hg_Comments
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Dry,12,7,2010,12/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2321-43658,,,No,Kentucky Warbler,KEWA,Geothlypis formosa,,GEOFOR,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,HY,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.085,B3BL0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Dry,12,7,2010,12/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2321-43659,,,No,Louisiana Waterthrush,LOWA,Parkesia motacilla,,PARMOT,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,AHY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.398,B3BL0020,0.397,B3BL0020D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Dry,12,8,2010,12/8/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2321-43661,,,No,Kentucky Warbler,KEWA,Geothlypis formosa,,GEOFOR,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,HY,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.05,B3BL0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Dry,1,7,2011,1/7/2011,,,16.55578,-88.70777,16.55578,-88.70777,,,2321-43665,,,No,Kentucky Warbler,KEWA,Geothlypis formosa,,GEOFOR,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,SY,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.019,B3BL0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Wet,11,6,2010,11/6/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2510-68289,,,No,Kentucky Warbler,KEWA,Geothlypis formosa,,GEOFOR,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,U,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.069,B3BL0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Wet,11,7,2010,11/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2510-68290,,,No,Northern Waterthrush,NOWA,Parkesia noveboracensis,,PARNOV,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,HY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.272,B3BL0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Wet,11,7,2010,11/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2510-68291,,,No,Hooded Warbler,HOWA,Setophaga citrina,,SETCIT,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,HY,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.065,B3BL0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Wet,11,7,2010,11/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2510-68292,,,No,Hooded Warbler,HOWA,Setophaga citrina,,SETCIT,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,HY,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.083,B3BL0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Wet,11,7,2010,11/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2510-68293,,,No,Prothonotary Warbler,PROW,Protonotaria citrea,,PROCIT,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,AHY,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,3.195,B3BL0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America,Belize,Toledo,,,BEL006,Belize Foundation for Research and Environmental Education,BELT084,BFREE,,Shade coffee/cacao plantation; secondary forest,Secondary forest,Secondary forest,Secondary forest,Secondary forest,No,No,,Wet,11,7,2010,11/7/2010,,,16.55578,-88.70777,16.55578,-88.70777,,,2510-68294,,,No,Northern Waterthrush,NOWA,Parkesia noveboracensis,,PARNOV,,BRI,BRI,Kevin Regan,kevin.regan@briwildlife.org,,,,,No,,David C. Evers,david.evers@briwildlife.org,Oksana P. Lane,oksanalane@yahoo.com,Reynold Cal,raycalsm@gmail.com,Stevan Reneau,stevan_reneau@yahoo.com,Wilber Martínez,wadmartinez@yahoo.com,Kayla Hartwell,kaylahartwell@gmail.com,Abidas A. Ash,aash@ub.edu.bz,Mario Teul,mteul@yahoo.com,David R. Tzul,cracid2000@yahoo.com,,AHY,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,0.118,B3BL0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
